"SAMPLE","CASEID","IDHSPID","IDHSHID","HHID","HHNUM","PSU","STRATA","DOMAIN","PERWEIGHT","DVWEIGHT","URBAN","CLUSTERNO","DISTRICT","RESIDENT","ELECTRCHH","COOKFUEL","HUSJOB","EDUCLVL","SAMPLESTR","DHSID"
2884,"           1119  1","   2884        1119  1","   2884        1119","           1119",19,11,127,6,1.083615,,2,11,13,1,1,530,40,2,"2884","GH200300000011"
2884,"           1119  3","   2884        1119  3","   2884        1119","           1119",19,11,127,6,1.083615,,2,11,13,1,1,530,99,2,"2884","GH200300000011"
2884,"           1120  2","   2884        1120  2","   2884        1120","           1120",20,11,127,6,1.083615,,2,11,13,1,1,530,32,2,"2884","GH200300000011"
2884,"           12 1  1","   2884        12 1  1","   2884        12 1","           12 1",1,12,131,6,1.524489,,2,12,12,1,1,530,40,0,"2884","GH200300000012"
2884,"           12 5  2","   2884        12 5  2","   2884        12 5","           12 5",5,12,131,6,1.524489,,2,12,12,1,1,530,20,2,"2884","GH200300000012"
2884,"           12 5  3","   2884        12 5  3","   2884        12 5","           12 5",5,12,131,6,1.524489,,2,12,12,1,1,530,99,2,"2884","GH200300000012"
2884,"           12 8  2","   2884        12 8  2","   2884        12 8","           12 8",8,12,131,6,1.524489,,2,12,12,1,1,520,40,2,"2884","GH200300000012"
2884,"           1213  1","   2884        1213  1","   2884        1213","           1213",13,12,131,6,1.524489,,2,12,12,1,1,530,61,2,"2884","GH200300000012"
2884,"           1213  2","   2884        1213  2","   2884        1213","           1213",13,12,131,6,1.524489,,2,12,12,1,1,530,99,2,"2884","GH200300000012"
2884,"           1215  1","   2884        1215  1","   2884        1215","           1215",15,12,131,6,1.524489,,2,12,12,1,1,520,32,1,"2884","GH200300000012"
2884,"           1216  2","   2884        1216  2","   2884        1216","           1216",16,12,131,6,1.524489,,2,12,12,1,1,520,40,0,"2884","GH200300000012"
2884,"           1216  4","   2884        1216  4","   2884        1216","           1216",16,12,131,6,1.524489,,2,12,12,1,1,520,99,1,"2884","GH200300000012"
2884,"           1217  2","   2884        1217  2","   2884        1217","           1217",17,12,131,6,1.524489,,2,12,12,1,0,530,40,2,"2884","GH200300000012"
2884,"           1219  1","   2884        1219  1","   2884        1219","           1219",19,12,131,6,1.524489,,2,12,12,1,1,530,40,2,"2884","GH200300000012"
2884,"           13 1  3","   2884        13 1  3","   2884        13 1","           13 1",1,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 2  2","   2884        13 2  2","   2884        13 2","           13 2",2,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 3  2","   2884        13 3  2","   2884        13 3","           13 3",3,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 3 11","   2884        13 3 11","   2884        13 3","           13 3",3,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 4  2","   2884        13 4  2","   2884        13 4","           13 4",4,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 6  2","   2884        13 6  2","   2884        13 6","           13 6",6,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 7  2","   2884        13 7  2","   2884        13 7","           13 7",7,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 8  2","   2884        13 8  2","   2884        13 8","           13 8",8,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           13 9  2","   2884        13 9  2","   2884        13 9","           13 9",9,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           1311  2","   2884        1311  2","   2884        1311","           1311",11,13,139,10,0.51314,,2,13,4,1,0,530,40,1,"2884","GH200300000013"
2884,"           1311  3","   2884        1311  3","   2884        1311","           1311",11,13,139,10,0.51314,,2,13,4,1,0,530,99,0,"2884","GH200300000013"
2884,"           1312  3","   2884        1312  3","   2884        1312","           1312",12,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           1313  4","   2884        1313  4","   2884        1313","           1313",13,13,139,10,0.51314,,2,13,4,1,0,530,61,0,"2884","GH200300000013"
2884,"           1314  2","   2884        1314  2","   2884        1314","           1314",14,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
2884,"           1315  4","   2884        1315  4","   2884        1315","           1315",15,13,139,10,0.51314,,2,13,4,1,0,530,40,0,"2884","GH200300000013"
